portfolio_name,market,ablation,reference_strategy,cumulative_return,delta_cumulative_return,sharpe,delta_sharpe,information_ratio,delta_information_ratio,model_score,delta_model_score
us_ai_infrastructure_barbell,us,equal_weight,smart_policy_oos_guard,0.8458420083015201,0.1386456642460463,1.5718448885787517,0.09773221917890274,1.086991376697373,0.12770081975486547,70.7,0.4000000000000057
us_ai_infrastructure_barbell,us,inverse_volatility,smart_policy_oos_guard,0.6507226564659563,-0.05647368758951754,1.5658481860074414,0.09173551660759238,1.0308147219848551,0.07152416504234771,73.9,3.6000000000000085
us_ai_infrastructure_barbell,us,mean_variance,smart_policy_oos_guard,0.6778458616266614,-0.02935048242881244,1.3297002691641058,-0.1444124002357432,0.7351509400438073,-0.2241396168987001,66.5,-3.799999999999997
us_ai_infrastructure_barbell,us,raw_black_litterman,smart_policy_oos_guard,0.5635370421978703,-0.14365930185760356,1.319711882027592,-0.15440078737225704,0.6705387574952382,-0.28875179944726925,67.6,-2.700000000000003
us_ai_infrastructure_barbell,us,smart_policy,smart_policy_oos_guard,0.5741940969106551,-0.13300224714481867,1.3407811867415156,-0.1333314826583334,0.7022302464025297,-0.2570603105399777,68.0,-2.299999999999997
us_ai_infrastructure_barbell,us,smart_policy_oos_guard,smart_policy_oos_guard,0.7071963440554738,0.0,1.474112669399849,0.0,0.9592905569425074,0.0,70.3,0.0
us_dividend_low_volatility,us,equal_weight,smart_policy_oos_guard,0.06904940218670808,-0.026032573879956944,0.33758944242605654,-0.15581127567130126,-0.9138864584299765,0.049275385548236295,54.0,-1.6000000000000014
us_dividend_low_volatility,us,inverse_volatility,smart_policy_oos_guard,0.07535851957744355,-0.01972345648922147,0.3757629293630402,-0.11763778873431763,-0.9259118376433978,0.03725000633481501,54.5,-1.1000000000000014
us_dividend_low_volatility,us,mean_variance,smart_policy_oos_guard,0.13740800413127374,0.04232602806460872,0.6959146929270191,0.20251397482966133,-0.8360411033665512,0.12712074061166156,58.3,2.6999999999999957
us_dividend_low_volatility,us,raw_black_litterman,smart_policy_oos_guard,0.09271692637930129,-0.0023650496873637294,0.48167535294484876,-0.011725365152509049,-0.9732508893595008,-0.010089045381287964,55.5,-0.10000000000000142
us_dividend_low_volatility,us,smart_policy,smart_policy_oos_guard,0.09508197606666502,0.0,0.4934007180973578,0.0,-0.9631618439782128,0.0,55.6,0.0
us_dividend_low_volatility,us,smart_policy_oos_guard,smart_policy_oos_guard,0.09508197606666502,0.0,0.4934007180973578,0.0,-0.9631618439782128,0.0,55.6,0.0
us_mid_small_sector_mix,us,equal_weight,smart_policy_oos_guard,0.18507250588116908,-0.0024600631788771476,0.7142152614281433,-0.07516180216078838,-0.8901277857878338,-0.09032050834702232,54.3,-2.8000000000000043
us_mid_small_sector_mix,us,inverse_volatility,smart_policy_oos_guard,0.1748617800078347,-0.012670789052211529,0.7061809142177007,-0.08319614937123099,-0.9027987604150184,-0.1029914829742069,54.7,-2.3999999999999986
us_mid_small_sector_mix,us,mean_variance,smart_policy_oos_guard,0.18169734884273048,-0.005835220217315751,0.788160041090033,-0.0012170224988986567,-0.788698237853767,0.011109039587044456,57.8,0.6999999999999957
us_mid_small_sector_mix,us,raw_black_litterman,smart_policy_oos_guard,0.18722224841224833,-0.00031032064779790147,0.7879833213671736,-0.001393742221758032,-0.8002629522224222,-0.0004556747816106821,57.1,0.0
us_mid_small_sector_mix,us,smart_policy,smart_policy_oos_guard,0.18753256906004623,0.0,0.7893770635889317,0.0,-0.7998072774408115,0.0,57.1,0.0
us_mid_small_sector_mix,us,smart_policy_oos_guard,smart_policy_oos_guard,0.18753256906004623,0.0,0.7893770635889317,0.0,-0.7998072774408115,0.0,57.1,0.0
us_quality_tech_finance,us,equal_weight,smart_policy_oos_guard,0.31144159609316535,-0.003945603221370941,0.8204699432019275,0.04713454325112232,-0.1882583486977128,-0.02577902691420164,57.3,2.0999999999999943
us_quality_tech_finance,us,inverse_volatility,smart_policy_oos_guard,0.2457245226323912,-0.0696626766821451,0.6825819660539988,-0.09075343389680635,-0.46126950379418713,-0.298790182010676,54.1,-1.1000000000000014
us_quality_tech_finance,us,mean_variance,smart_policy_oos_guard,0.5311320464399649,0.21574484712542863,1.010983865789768,0.23764846583896293,0.3889268693206654,0.5514061911041765,58.7,3.5
us_quality_tech_finance,us,raw_black_litterman,smart_policy_oos_guard,0.315492232958394,0.00010503364385772151,0.7740452278340634,0.0007098278832582405,-0.1622934633794684,0.00018585840404275467,55.3,0.09999999999999432
us_quality_tech_finance,us,smart_policy,smart_policy_oos_guard,0.3153871993145363,0.0,0.7733353999508051,0.0,-0.16247932178351115,0.0,55.2,0.0
us_quality_tech_finance,us,smart_policy_oos_guard,smart_policy_oos_guard,0.3153871993145363,0.0,0.7733353999508051,0.0,-0.16247932178351115,0.0,55.2,0.0
