date,horizon,portfolio_name,market,feature,feature_value,shap_value
2025-06-06,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,0.008265611573951103,-0.04289989918470383
2025-06-06,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.02021051561487086,-0.17425686120986938
2025-06-06,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.0062545902674812715,-0.07351834326982498
2025-06-06,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.011387050317312615,0.05696330592036247
2025-06-06,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.02070822051667515,-0.2068011462688446
2025-06-06,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.0040421031229741725,-0.0321667455136776
2025-06-06,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.00276578838930397,-0.20587512850761414
2025-06-06,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.03967977315187454
2025-06-06,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.11129910498857498
2025-06-06,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006620022318307579,-0.009002636186778545
2025-06-06,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.5780643833897473,-0.0788792222738266
2025-06-06,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,2.1327602490509756,-0.04683985561132431
2025-06-06,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.6188829862115648,0.010852894745767117
2025-06-06,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9816606023406244,-0.0015166732482612133
2025-06-09,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,0.004996512717063614,-0.04813593253493309
2025-06-09,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.022861633251253736,-0.13788580894470215
2025-06-09,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.0061868003080026044,-0.07212664932012558
2025-06-09,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.011392691865743992,0.055416349321603775
2025-06-09,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.02066397737607601,-0.20526540279388428
2025-06-09,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.004572326650250747,-0.027732908725738525
2025-06-09,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.0029459732088422935,-0.20595000684261322
2025-06-09,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.03976484015583992
2025-06-09,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.11402694135904312
2025-06-09,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006620022318307579,-0.006108721252530813
2025-06-09,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.5250233630713599,-0.09823562949895859
2025-06-09,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,2.078534704721568,-0.045489441603422165
